"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "comment", "blank", "total"
"c:\UwAmp\www\Birdmap\affichage\addMenu\addMenu.js", "JavaScript", 0, 0, 45, 0, 0, 6, 51
"c:\UwAmp\www\Birdmap\affichage\addMenu\addMenuTemplate.php", "PHP", 0, 19, 0, 0, 0, 1, 20
"c:\UwAmp\www\Birdmap\affichage\modifMenu\ModifMenu.js", "JavaScript", 0, 0, 51, 0, 2, 6, 59
"c:\UwAmp\www\Birdmap\affichage\modifMenu\ModifMenuTemplate.php", "PHP", 0, 28, 0, 0, 0, 4, 32
"c:\UwAmp\www\Birdmap\affichage\searchbar\searchResult.php", "PHP", 0, 19, 0, 0, 0, 8, 27
"c:\UwAmp\www\Birdmap\affichage\searchbar\searchbar.js", "JavaScript", 0, 0, 63, 0, 0, 11, 74
"c:\UwAmp\www\Birdmap\affichage\searchbar\searchbarTemplate.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"c:\UwAmp\www\Birdmap\animalInfo\animalInfo.php", "PHP", 0, 5, 0, 0, 0, 1, 6
"c:\UwAmp\www\Birdmap\db\AjaxRequests\ModifyStudy.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"c:\UwAmp\www\Birdmap\db\AjaxRequests\createNewAnimal.php", "PHP", 0, 8, 0, 0, 0, 1, 9
"c:\UwAmp\www\Birdmap\db\AjaxRequests\getDescrition.php", "PHP", 0, 14, 0, 0, 0, 2, 16
"c:\UwAmp\www\Birdmap\db\AjaxRequests\isPath.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\UwAmp\www\Birdmap\db\animalDB.php", "PHP", 0, 141, 0, 0, 65, 17, 223
"c:\UwAmp\www\Birdmap\db\uploadIMG.php", "PHP", 0, 23, 0, 0, 0, 2, 25
"c:\UwAmp\www\Birdmap\db\uploadStudy.php", "PHP", 0, 43, 0, 0, 0, 5, 48
"c:\UwAmp\www\Birdmap\fonctionnement\classes\AnimalControler.js", "JavaScript", 0, 0, 69, 0, 0, 9, 78
"c:\UwAmp\www\Birdmap\fonctionnement\classes\StudyControler.js", "JavaScript", 0, 0, 89, 0, 0, 6, 95
"c:\UwAmp\www\Birdmap\fonctionnement\classes\animal.js", "JavaScript", 0, 0, 36, 0, 0, 1, 37
"c:\UwAmp\www\Birdmap\fonctionnement\classes\location.js", "JavaScript", 0, 0, 23, 0, 0, 1, 24
"c:\UwAmp\www\Birdmap\fonctionnement\importStudie.js", "JavaScript", 0, 0, 50, 0, 2, 4, 56
"c:\UwAmp\www\Birdmap\fonctionnement\map.js", "JavaScript", 0, 0, 73, 0, 3, 11, 87
"c:\UwAmp\www\Birdmap\index.php", "PHP", 0, 48, 0, 0, 0, 5, 53
"c:\UwAmp\www\Birdmap\register\login.php", "PHP", 0, 22, 0, 0, 0, 0, 22
"c:\UwAmp\www\Birdmap\register\loginVerification.php", "PHP", 0, 19, 0, 0, 1, 2, 22
"c:\UwAmp\www\Birdmap\register\register.php", "PHP", 0, 23, 0, 0, 0, 0, 23
"c:\UwAmp\www\Birdmap\register\registerVerification.php", "PHP", 0, 19, 0, 0, 1, 1, 21
"c:\UwAmp\www\Birdmap\style\description.css", "CSS", 13, 0, 0, 0, 0, 3, 16
"c:\UwAmp\www\Birdmap\style\map.css", "CSS", 51, 0, 0, 0, 0, 9, 60
"c:\UwAmp\www\Birdmap\style\modfiMenu.css", "CSS", 80, 0, 0, 0, 0, 8, 88
"c:\UwAmp\www\Birdmap\style\register.css", "CSS", 77, 0, 0, 0, 0, 0, 77
"c:\UwAmp\www\Birdmap\style\searchbar.css", "CSS", 66, 0, 0, 0, 1, 6, 73
"c:\UwAmp\www\Birdmap\test.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"Total", "-", 287, 449, 499, 1, 75, 131, 1442